app_id,candidate_id,role_level,applied_date,decision_date,expected_salary
139,12,Senior,2025-03-07,2025-03-02,82906
140,47,Senior,2024-11-06,2024-11-01,84236
141,102,Senior,2025-12-28,2026-01-15,73065
142,79,Junior,2026-01-15,2026-02-15,138176
143,60,Junior,2025-09-14,,85870
144,14,Junior,2024-08-08,2024-09-19,142397
145,122,Junior,2025-09-14,,138858
146,143,Junior,2025-12-09,2025-12-25,149999
147,144,Junior,2026-01-26,2026-02-16,71266
148,139,Executive,2025-06-07,2025-07-08,54993
149,180,Junior,2025-11-13,,100952
150,192,Senior,2025-11-05,,140518
151,127,Executive,2026-02-07,2026-02-16,119593
152,101,Executive,2026-01-20,,55012
153,130,Junior,2024-09-10,2024-09-30,115849
154,138,Senior,2025-11-20,2026-01-19,115470
155,24,Senior,2024-05-07,,91990
156,124,Junior,2025-01-16,,49961
157,145,Executive,2025-10-07,,-50000
158,89,Junior,2025-07-21,,53356
159,165,Senior,2025-09-25,,151449
160,35,Executive,2024-11-08,,145582
161,100,Executive,2025-07-09,2025-08-29,142581
162,121,Executive,2025-01-28,2025-02-20,96148
163,137,Senior,2025-06-23,,49038
164,51,Executive,2025-10-12,,84725
165,48,Senior,2024-10-07,2024-12-01,147784
166,118,Senior,2025-03-11,2025-03-18,87472
167,192,Senior,2025-04-22,,132708
168,87,Junior,2026-01-31,2026-02-16,136180
169,99,Executive,2025-01-25,,75400
170,197,Executive,2025-02-15,,141533
171,7,Senior,2025-12-07,2026-01-06,148230
172,199,Executive,2025-02-11,,75179
173,199,Junior,2025-04-09,2025-06-03,148885
174,28,Senior,2025-09-10,2025-09-28,71963
175,73,Executive,2025-10-22,2025-11-28,127580
176,91,Junior,2024-09-24,2024-10-16,104789
177,42,Senior,2025-07-15,2025-07-27,67802
178,40,Senior,2025-11-10,2026-01-01,84608
179,183,Executive,2024-11-12,2025-01-08,131905
180,166,Junior,2025-09-24,2025-10-30,107715
181,179,Junior,2025-09-17,2025-09-23,134381
182,120,Executive,2026-01-03,2026-02-04,139374
183,131,Senior,2025-08-09,2025-09-23,124659
184,67,Senior,2025-11-16,,98743
185,3,Senior,2024-06-06,2024-06-12,69045
186,89,Junior,2025-08-11,2025-09-25,80135
187,183,Executive,2024-05-04,,88368
188,120,Executive,2025-04-25,2025-05-31,85056
189,177,Executive,2025-10-07,2025-11-24,83357
190,177,Senior,2025-11-17,2026-01-01,75509
191,184,Junior,2024-10-16,2024-11-02,55814
192,80,Junior,2025-01-21,,81359
193,108,Executive,2025-01-09,2025-02-26,139901
194,188,Junior,2025-05-16,,65105
195,44,Senior,2024-12-03,2025-01-20,76241
196,106,Executive,2025-11-21,,139641
197,131,Executive,2025-11-30,,77093
198,4,Junior,2025-02-06,2025-04-01,78829
199,70,Junior,2025-02-22,2025-03-18,79618
200,24,Executive,2024-08-16,2024-10-01,56591
201,25,Junior,2025-09-19,2025-09-22,112529
202,171,Junior,2025-01-31,2025-03-17,123606
203,32,Junior,2024-04-19,2024-04-26,115243
204,76,Senior,2024-05-13,2024-06-13,97733
205,53,Junior,2024-12-17,2024-12-29,73092
206,52,Junior,2025-02-27,2025-03-07,92521
207,13,Executive,2025-09-01,2025-09-06,122502
208,194,Junior,2025-09-21,,59887
209,86,Executive,2024-12-18,2024-12-13,79824
210,120,Junior,2025-07-10,2025-07-26,113147
211,83,Executive,2025-05-16,2025-06-24,143643
212,106,Junior,2025-05-04,,141671
213,54,Senior,2025-09-02,,99049
214,47,Executive,2025-03-25,2025-04-14,96207
215,10,Executive,2025-11-30,2026-01-06,47894
216,179,Executive,2025-08-19,,53006
217,129,Junior,2024-11-11,2024-12-22,74687
218,44,Junior,2025-01-28,,60585
219,171,Executive,2024-10-26,2024-11-07,49838
220,134,Senior,2024-10-19,2024-10-20,99048
221,14,Executive,2025-10-22,,101592
222,171,Junior,2025-04-06,2025-04-09,77762
223,33,Senior,2026-02-02,,132141
224,148,Executive,2025-09-17,2025-09-22,70595
225,176,Executive,2024-12-06,2025-01-26,117304
226,13,Junior,2026-02-07,,95723
227,57,Junior,2025-11-17,2025-12-22,124886
228,59,Senior,2024-11-17,2025-01-15,148348
229,36,Junior,2025-07-02,2025-07-07,61747
230,81,Executive,2025-03-30,2025-05-08,148034
231,33,Senior,2025-04-24,,97560
232,10,Executive,2025-09-08,2025-10-08,79857
233,43,Senior,2024-10-17,,75683
234,117,Executive,2025-08-14,,104722
235,145,Executive,2024-09-19,2024-09-25,45224
236,94,Senior,2025-08-08,2025-09-25,119129
237,83,Junior,2025-09-03,2025-09-05,70005
238,200,Executive,2025-08-26,,116955
239,8,Executive,2025-05-12,2025-06-30,147665
240,54,Junior,2025-03-08,2025-04-14,140022
241,69,Executive,2025-10-01,2025-11-01,125394
242,53,Senior,2025-01-03,2025-03-03,63788
243,155,Senior,2026-01-05,,-50000
244,198,Senior,2025-01-25,2025-01-31,85607
245,159,Senior,2025-11-27,2025-12-19,127835
246,62,Junior,2025-08-27,2025-10-21,83228
247,20,Senior,2025-04-05,2025-05-20,77777
248,133,Senior,2025-11-01,,146635
249,177,Junior,2025-01-24,,99614
250,88,Senior,2025-03-17,2025-04-07,82372
9999,99999,Executive,2025-08-17,2025-09-28,149579
